ClassNumber,Mnemonic,Number,Section,Title
20469,COLA,1500,95,College Advising Seminars
20470,COLA,1500,96,College Advising Seminars
20472,COLA,1500,97,College Advising Seminars
20474,COLA,1500,98,College Advising Seminars
20628,COLA,1500,99,College Advising Seminars
15142,COMM,1100,1,Understanding the World of Business
15143,COMM,1100,2,Understanding the World of Business
14993,COMM,2010,1,Introduction to Financial Accounting
14997,COMM,2020,1,Introduction to Management Accounting
14998,COMM,2730,1,Personal Finance
14999,COMM,3010,1,Strategy and Systems
15005,COMM,3010,2,Strategy and Systems
15000,COMM,3010,3,Strategy and Systems
15003,COMM,3010,4,Strategy and Systems
15006,COMM,3010,5,Strategy and Systems
15002,COMM,3010,6,Strategy and Systems
15004,COMM,3010,7,Strategy and Systems
15001,COMM,3010,8,Strategy and Systems
15007,COMM,3020,1,Behavioral Issues in Marketing and Management
15013,COMM,3020,2,Behavioral Issues in Marketing and Management
15014,COMM,3020,3,Behavioral Issues in Marketing and Management
15011,COMM,3020,4,Behavioral Issues in Marketing and Management
15012,COMM,3020,5,Behavioral Issues in Marketing and Management
15008,COMM,3020,6,Behavioral Issues in Marketing and Management
15009,COMM,3020,7,Behavioral Issues in Marketing and Management
15010,COMM,3020,8,Behavioral Issues in Marketing and Management
15018,COMM,3030,1,Quantitative and Financial Analysis
15016,COMM,3030,2,Quantitative and Financial Analysis
15017,COMM,3030,3,Quantitative and Financial Analysis
15021,COMM,3030,4,Quantitative and Financial Analysis
15019,COMM,3030,5,Quantitative and Financial Analysis
15022,COMM,3030,6,Quantitative and Financial Analysis
15020,COMM,3030,7,Quantitative and Financial Analysis
15015,COMM,3030,8,Quantitative and Financial Analysis
15027,COMM,3110,1,Intermediate Accounting I
15025,COMM,3110,2,Intermediate Accounting I
15023,COMM,3110,3,Intermediate Accounting I
15024,COMM,3110,4,Intermediate Accounting I
15026,COMM,3110,5,Intermediate Accounting I
15029,COMM,3110,6,Intermediate Accounting I
15028,COMM,3110,7,Intermediate Accounting I
15052,COMM,3110,8,Intermediate Accounting I
15034,COMM,3200,1,Project and Product Management
15092,COMM,3200,2,Project and Product Management
15133,COMM,3200,3,Project and Product Management
15069,COMM,3220,1,Database Management Systems and Business Intelligence
15084,COMM,3220,2,Database Management Systems and Business Intelligence
15146,COMM,3220,3,Database Management Systems and Business Intelligence
15083,COMM,3330,1,Marketing Research Techniques
20518,COMM,3410,3,Commercial Law I
20519,COMM,3410,4,Commercial Law I
15074,COMM,3420,1,Commercial Law II
15032,COMM,3600,1,Principles and Practice in Arts Administration
20159,COMM,3720,2,Intermediate Corporate Finance
20039,COMM,3810,1,Business Ethics
19637,COMM,3880,1,Global Sustainability
15081,COMM,4260,1,Business Analytics
15035,COMM,4310,1,Global Marketing
15059,COMM,4320,1,Entertainment Marketing
15037,COMM,4330,1,Negotiating for Value
15036,COMM,4330,2,Negotiating for Value
15038,COMM,4371,1,Advertising and Promotional Aspects of Marketing
15101,COMM,4373,1,Advertising and Promotional Aspects of Marketing - Media Lab
15102,COMM,4373,2,Advertising and Promotional Aspects of Marketing - Media Lab
15068,COMM,4380,1,Consumer Behavior and Marketing Strategy
15091,COMM,4380,2,Consumer Behavior and Marketing Strategy
15137,COMM,4450,1,Federal Taxation
15138,COMM,4450,2,Federal Taxation
15139,COMM,4520,1,Topics in Information Technology
19700,COMM,4559,1,New Course in Commerce
19701,COMM,4559,2,New Course in Commerce
20059,COMM,4559,3,New Course in Commerce
20107,COMM,4559,4,New Course in Commerce
20313,COMM,4559,5,New Course in Commerce
15039,COMM,4650,1,"Business, Politics & Culture in the European Union"
21233,COMM,4660,1,The Advice Business: The Basics of Strategic Consulting
15040,COMM,4680,1,Entrepreneurship
15072,COMM,4690,1,Global Management
15073,COMM,4690,2,Global Management
15041,COMM,4710,1,Intermediate Investments
15042,COMM,4710,2,Intermediate Investments
15045,COMM,4710,3,Intermediate Investments
15044,COMM,4710,4,Intermediate Investments
15043,COMM,4710,5,Intermediate Investments
20617,COMM,4710,6,Intermediate Investments
15046,COMM,4720,1,Advanced Corporate Finance: Valuation and Restructuring
15134,COMM,4720,2,Advanced Corporate Finance: Valuation and Restructuring
15135,COMM,4720,3,Advanced Corporate Finance: Valuation and Restructuring
15086,COMM,4730,1,Advanced Investments: Derivatives and Fixed Income
15087,COMM,4741,1,Global Finance
15088,COMM,4741,2,Global Finance
15047,COMM,4790,1,Fundamentals of Real Estate Analysis
15103,COMM,4821,1,Managing Sustainable Development
15095,COMM,4840,1,Global Commerce Scholar Thesis Proposal
15058,COMM,4899,1,Cross Cultural Experience
15049,COMM,4993,1,Independent Study in Commerce
22389,COMM,4993,2,Independent Study in Commerce
22390,COMM,4993,3,Independent Study in Commerce
22393,COMM,4993,4,Independent Study in Commerce
22394,COMM,4993,5,Independent Study in Commerce
15104,COMM,5130,1,Advanced Financial Accounting
15106,COMM,5130,2,Advanced Financial Accounting
15119,COMM,5140,1,Strategic Cost Management
15131,COMM,5140,2,Strategic Cost Management
21814,COMM,5559,1,New Course in Commerce
15089,COMM,5700,1,Financial Trading
17258,CPE,6190,1,Computer Engineering Perspectives
17349,CPE,6190,2,Computer Engineering Perspectives
16962,CPE,6890,1,Industrial Applications
22204,CPE,7993,7,Independent Study
22376,CPE,7993,8,Independent Study
22422,CPE,7993,9,Independent Study
16446,CPE,7995,1,Supervised Project Research
16447,CPE,8897,1,Graduate Teaching Instruction
16448,CPE,8999,1,"Non-Topical Research, Master's Thesis"
16449,CPE,9897,1,Graduate Teaching Instruction
16450,CPE,9999,1,"Non-Topical Research, Doctoral Dissertation"
